,close,high,low,open,vol,pct_change,vwap,alpha001,alpha002,alpha003,alpha004,alpha005,alpha006,alpha007,alpha008,alpha009,alpha010,alpha011,alpha012,alpha013,alpha014,alpha015,alpha016,alpha017,alpha018,alpha019,alpha020,alpha021,alpha022,alpha024,alpha025,alpha026,alpha027,alpha028,alpha029,alpha030,alpha032,alpha033,alpha034,alpha035,alpha036,alpha037,alpha038,alpha040,alpha041,alpha042,alpha043,alpha044,alpha045,alpha046,alpha047,alpha049,alpha050,alpha051,alpha052,alpha053,alpha054,alpha055,alpha060,alpha061,alpha062,alpha064,alpha065,alpha068,alpha074,alpha075,alpha078,alpha081,alpha083,alpha084,alpha085,alpha086,alpha094,alpha095,alpha099,alpha101
2012-02-09,13.90999984741211,14.220000267028809,13.75,14.170000076293944,580500,-0.6428582327706489,13.97,,0.0,0.0,,-0.001808802668608726,0.0,,,,,,,,,,,,,,,1.0,,,,,,1.3277430920858994e-05,,,,0.8720715166461159,,,,,,,0.01302555499510305,179.63636363636365,,-0.0,,,,,,,,,-0.37345226740600834,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.5520171581260087
2012-02-10,13.960000038146973,14.029999732971191,13.770000457763672,14.0,336300,0.3594550056315482,13.95,,0.0,0.0,,-0.0018851078192729134,0.0,,,-0.05000019073486328,-0.05000019073486328,,0.05000019073486328,,,,,,,,-0.08798894537372094,1.0,,,,,,-1.0621894087500978e-05,,,,0.6051171393341553,0.3814369411039161,,,,,,-0.05060782820207166,143.25,,-0.0,,-0.05000019073486328,,-0.05000019073486328,,-0.05000019073486328,,,-0.7412992923275712,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.15325698441585145
2012-02-13,13.649999618530272,14.420000076293944,13.630000114440918,13.90999984741211,175900,-2.220633372275038,13.83,,0.0,0.0,,-0.000852660170497825,0.0,,,0.310000419616701,0.310000419616701,,-0.310000419616701,,,-1.1291615289765722,,,,,-0.051866238388999966,1.0,,,,-0.0,,6.638698577367456e-05,,,,0.8766954377311961,0.5007708911501696,,,,,,0.18943660387693662,321.14285714285717,,-0.0,,0.310000419616701,,0.310000419616701,,0.310000419616701,,,-0.02782047793594503,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.32869815603119834
2012-02-14,13.4399995803833,13.789999961853027,13.300000190734863,13.600000381469728,122200,-1.5384618609211589,13.46,,0.0,0.0,,-0.00039910539575291044,0.0,,,0.21000003814697088,0.21000003814697088,0.0581594434814123,-0.21000003814697088,,-0.0,-1.160912453760789,,,,,-0.02353042318518774,1.0,,0.4700002670288086,,-0.0,,1.8588420172264663e-05,,,,0.7906905055487053,0.4742522355843355,,,,,,0.08278413484018365,1844.9999999999998,,-0.0,,0.21000003814697088,,0.21000003814697088,,0.21000003814697088,,,-0.30312977147544623,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.3258673638931733
2012-02-15,13.399999618530272,14.06999969482422,13.300000190734863,13.5,175000,-0.2976187730794999,13.75,,0.0,0.0,,-0.00014158739039805631,0.0,,,0.03999996185302912,0.03999996185302912,0.2812447833996141,0.03999996185302912,-0.7876543209876543,-0.0,-1.5336004932182492,-0.5753086419753086,,-0.1654320987654321,,-0.07188509474756533,1.0,,0.560000419616701,,-0.0,,5.045410243476791e-05,,,,0.7090012330456227,0.49460376194881284,,,,,,-0.07041672327692616,833.3333333333334,,-0.23716433249539423,,0.03999996185302912,,0.03999996185302912,,0.03999996185302912,,,-0.13478823360575334,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,-0.12970226431966486
2012-02-16,13.539999961853027,13.699999809265137,13.399999618530272,13.399999618530272,71200,1.044778711255745,13.53,,0.0,0.0,,-0.0001445331683190897,0.0,,,-0.14000034332275568,-0.14000034332275568,0.388957338511183,0.14000034332275568,-0.7123456790123457,-0.0,-2.1713933415536375,-0.5462962962962963,,-0.1941358024691358,,-0.03728936184240471,1.0,,0.10999965667724432,,-0.0,,1.770273473594982e-06,,,,0.26479654747225645,0.5010792476102375,,,,,,0.019169429083749634,861.9999999999999,,-0.25818311014217293,,-0.14000034332275568,,-0.14000034332275568,,-0.14000034332275568,,,-0.4430351501311524,-0.0,,False,0,0,0,0,0,False,,0,,,,0,,False,0,0.4651171249458592
2012-02-17,13.579999923706056,13.989999771118164,13.5,13.609999656677246,142800,0.2954206939861148,13.72,,0.0,0.0,,-0.00046310479671471643,0.0,,,-0.03999996185302912,-0.03999996185302912,0.7865581734337256,-0.03999996185302912,-0.49290123456790125,-0.0,-2.660295930949445,-0.5111111111111111,,-0.175,,-0.0854738633406741,1.0,,-0.14000034332275568,,-0.0,1.0,2.9210229844454965e-05,,,,0.5872379778051788,0.7227875423990132,,,,,,0.022816192836721427,540.5,,-0.8907450267138963,,-0.03999996185302912,,-0.03999996185302912,,-0.03999996185302912,,,-0.16507656731659648,-0.0,,False,0,0,0,0,0,False,,0,0.2764358154921903,,,0,,False,0,-0.06109928096884976
2012-02-21,13.710000038146973,14.34000015258789,13.5600004196167,13.609999656677246,248700,0.9572909806426556,13.96,,-0.5287910819015259,0.0,,-0.0003805755023786681,0.0,,,-0.1300001144409162,-0.1300001144409162,0.8907921542710883,-0.1300001144409162,-0.562962962962963,-0.0,-2.7515413070283596,-0.5901234567901235,,-0.1845679012345679,,-0.0497954479043902,1.0,,-0.310000419616701,,-0.0,1.0,4.248766076531427e-05,,,,0.32675709001233044,0.6725254394079556,,,,,,-0.015452388607391399,261.6666666666667,,-0.9492816395166478,,-0.1300001144409162,,-0.1300001144409162,,-0.1300001144409162,,,-0.18539541601900322,-0.0,,False,0,0,0,0,0,False,,0,0.5154009961563876,,,0,,False,0,0.12804150532714106
2012-02-22,13.960000038146973,14.220000267028809,13.75,13.989999771118164,274900,1.8234865011261592,13.98,,-0.2796282769265463,0.0,-7.5,-0.0016078245943188679,0.0,,,-0.25,0.25,1.1363428759487908,-0.25,-0.6648148148148149,-0.0,-2.656288532675709,-0.6169753086419754,,-0.1697530864197531,,-0.12664809658951406,1.0,,-0.4200000762939453,,-0.9233784927693999,1.0,4.4258103069529976e-06,,,,0.5853884093711468,0.4381745297563984,,,,,,0.0030255549951032634,141.15384615384616,,-0.8767317887939627,,-0.25,,-0.25,-1.0,-0.25,,,-0.45162992286786685,-0.0,,False,0,0,0,0,0,False,,0,0.1610125776310407,,,0,,False,0,-0.06369366446528252
2012-02-23,13.9399995803833,14.0,13.84000015258789,13.970000267028809,82500,-0.143269754362596,13.92,,-0.06035438367914155,-0.7300493941008726,-9.0,-0.0016274947888238326,-0.6762496692492609,,,0.020000457763671875,0.020000457763671875,0.4722101406999805,-0.020000457763671875,-0.6157407407407407,-0.28877801365040945,-2.5191122071516645,-0.6271604938271605,,-0.3317901234567901,,-0.06925083593150595,-1.0,,-0.3599996566772443,,-0.9233784927693999,1.0,-3.540546947189964e-06,,,,0.5856966707768188,0.16897934011717544,,,,-0.21903283103082233,-0.005579250378323899,-0.0002298102220645859,168.79999999999998,,-0.8475114161087953,,0.020000457763671875,,0.020000457763671875,-1.0,0.020000457763671875,,-1.337496840914434,-0.631751403019398,-0.0,-0.0005038892699442126,False,0,0,0,0,0,False,,0,-0.04923314732816778,,,0,,False,0,-0.18633984520938965
